D0-fm,P15,P20-nr,P20-pr,Regulon
0.645253312,-1.099764015,1.024399405,-0.569888702,ESRRA (22g)
-0.122568702,-1.327829919,1.016761086,0.433637535,ELF3 (45g)
-0.732729667,0.696670725,1.012289752,-0.976230809,MAFG (15g)
0.063995604,0.304869727,1.006140347,-1.375005678,DLX5_extended (58g)
0.692356142,-1.033128411,1.005618374,-0.664846106,ATF6B_extended (38g)
0.675295163,-0.558930217,0.996522001,-1.112886947,DDIT3 (17g)
-0.235622221,-1.298143286,0.970706036,0.563059471,ERF (10g)
0.363526588,-1.388390561,0.967979453,0.05688452,NFYA (31g)
0.276705539,-1.405629212,0.958420104,0.170503569,HOXB2 (56g)
-1.39818186,0.079173302,0.950130574,0.368877983,DLX6 (77g)
0.149390807,-1.416986964,0.922268461,0.345327696,TAF1 (66g)
0.093315355,-1.410244211,0.918611217,0.39831764,HOXC6_extended (24g)
0.596583299,-1.35626615,0.88781361,-0.128130759,KLF3_extended (182g)
-0.145958685,-1.350363196,0.881812944,0.614508937,ZNF141 (10g)
0.224814427,-1.43818527,0.875894634,0.33747621,RFXANK_extended (67g)
-0.757977328,-0.967532469,0.844599128,0.880910668,BRCA1 (31g)
-0.208839212,0.709568427,0.828415713,-1.329144928,ZBTB40 (11g)
-0.61667546,-0.376950413,-0.499172399,1.492798272,TCF7L2 (13g)
-0.421717751,-0.643247987,-0.427024858,1.491990595,PBX1 (26g)
-0.255056604,-0.74743891,-0.466683692,1.469179205,PRDM5 (12g)
-0.184512251,-0.737257448,-0.538509216,1.460278915,TCF4_extended (61g)
-0.343082049,-0.835269732,-0.274062988,1.452414769,TCF7L1 (21g)
-0.311856974,-0.863066642,-0.269170683,1.444094299,RARA_extended (12g)
-0.82186272,-0.508363692,-0.103442866,1.433669278,SOX2 (168g)
-0.426736399,-0.913829721,-0.066009179,1.4065753,BCL11A (55g)
-0.454846311,-0.911573169,-0.033936721,1.400356201,FOXM1 (18g)
-0.192500007,-0.988852195,-0.211607693,1.392959895,CREBL2_extended (11g)
-0.57780576,-0.92847632,0.174509302,1.331772777,FOXN3_extended (36g)
-0.480548561,-0.9943285,0.148901046,1.325976015,BPTF (58g)
-0.062921972,-1.128995066,-0.115054087,1.306971126,SOX13 (46g)
-0.452322648,-1.047476559,0.214409991,1.285389216,PKNOX1_extended (45g)
-1.07184365,-0.451172491,0.267642963,1.255373178,POU5F1 (57g)
-0.940925639,0.363787151,-0.664261652,1.24140014,GATA2 (25g)
-0.65950619,-0.947285643,0.369338604,1.237453228,E2F8 (38g)
-0.061075165,-1.220696294,0.055778328,1.225993132,E2F2 (53g)
-0.221667482,-1.193008176,0.194043853,1.220631805,PBX3_extended (328g)
-0.220175437,-1.239093421,0.310446242,1.148822616,SIN3A_extended (65g)
0.409017136,-1.197534967,-0.343214745,1.131732576,ETV5_extended (23g)
-0.247007076,-1.238643616,0.354772187,1.130878505,E2F3 (708g)
-0.335041951,-1.214010563,0.447308137,1.101744378,CUX1 (1538g)
0.592675434,-0.984257729,-0.699559121,1.091141416,FOXO1_extended (34g)
0.622204058,-0.965329463,-0.729029773,1.072155179,FOXP1 (27g)
0.467124013,-1.273523842,-0.24286194,1.049261769,ZNF250 (21g)
0.658922328,-0.671929119,-1.02166197,1.034668761,LEF1 (24g)
0.627476285,-0.512194614,-1.138678591,1.02339692,TFAP4 (17g)
-0.487829327,-1.154220909,0.618995228,1.023055008,E2F7 (186g)
0.664516423,-1.056959983,-0.629686067,1.022129627,STAT3 (18g)
0.51349892,-1.311681313,-0.191359237,0.989541629,ZNF274 (42g)
0.214292933,-1.392723437,0.189183541,0.989246963,SP3_extended (145g)
0.192011971,-1.398118105,0.228185648,0.977920486,TBPL1 (13g)
-0.189394566,-1.316350798,0.531834534,0.97391083,ELK4 (37g)
-0.364336529,-1.235655177,0.626173459,0.973818247,SREBF2 (878g)
-0.783474616,-0.938555122,0.754740228,0.96728951,EZH2_extended (579g)
-0.227080163,-1.305106811,0.577238585,0.95494839,TEAD4 (20g)
0.415845388,-1.391779826,0.033105968,0.94282847,ZNF148_extended (38g)
-0.323849763,-1.26339247,0.653457204,0.933785029,CTCF_extended (604g)
-0.798369181,-0.928666116,0.796957763,0.930077534,TFDP1 (338g)
-0.189467422,-1.325691706,0.586129851,0.929029276,SP4 (30g)
0.79955864,-0.686711019,-1.026672919,0.913825298,HMGA2 (323g)
-0.717111235,-1.002104942,0.81668356,0.902532617,E2F1 (153g)
0.346758206,-1.45711578,0.290485211,0.819872363,BRF1_extended (111g)
-0.291319935,-1.289768547,0.761309002,0.81977948,CDX1 (27g)
-0.354538501,-1.255961762,0.807114723,0.803385541,POU5F1B_extended (48g)
0.865428266,-1.161060866,-0.507650047,0.803282648,FOXO3 (59g)
0.117900664,-1.442883285,0.547604877,0.777377744,NRF1_extended (517g)
0.463656068,-1.463512143,0.232253633,0.767602442,KDM5A (72g)
0.966632182,-0.861064785,-0.864761969,0.759194572,TEAD1 (30g)
-0.464795565,1.498721942,-0.557557186,-0.476369192,HOXB13 (20g)
-0.381735296,1.494440922,-0.525794768,-0.586910858,CEBPA (25g)
-0.571524378,1.491933092,-0.35084387,-0.569564844,MYCN_extended (18g)
-0.564768806,1.491636627,-0.578573804,-0.348294017,ETV4_extended (152g)
-0.322331905,1.488324736,-0.5582782,-0.607714632,MSX2 (56g)
-0.517375254,1.482190984,-0.295327619,-0.669488112,ATF4 (52g)
-0.234442551,1.474883314,-0.605915548,-0.634525215,ZNF235 (14g)
-0.753552718,1.473734066,-0.381719574,-0.338461774,RAD21_extended (612g)
-0.830906208,1.45113859,-0.234460511,-0.385771871,MYC (692g)
-0.332743924,1.448305607,-0.848859365,-0.266702318,ISL1_extended (14g)
-0.057495329,1.432332793,-0.683675145,-0.69116232,HOXA7_extended (16g)
-0.859484623,1.414603437,-0.507890528,-0.047228286,PITX1 (27g)
0.025257554,1.404054255,-0.657526318,-0.771785491,HDAC2 (13g)
-0.944644498,1.389873006,-0.418555046,-0.026673463,YBX1_extended (1510g)
0.092689598,1.371598817,-0.594203929,-0.870084487,TBX19_extended (26g)
0.129225392,1.30950309,-0.377653375,-1.061075107,POLR2A (1075g)
-0.166281076,1.306984858,-1.124219486,-0.016484297,MITF (33g)
-1.130529655,1.305476061,-0.053327698,-0.121618707,FOXA2 (45g)
-1.096686517,1.301538594,0.100420932,-0.305273009,UBTF_extended (375g)
0.024177301,1.256546806,-1.188257328,-0.092466779,GATA3 (16g)
0.195739221,1.245654295,-1.151523812,-0.289869705,ALX1_extended (19g)
-1.174404406,1.241219146,0.163971984,-0.230786724,BCLAF1 (625g)
0.306246991,1.208166494,-1.144390421,-0.370023064,GATA6 (150g)
-1.177006509,1.148696768,0.398049839,-0.369740098,YY1 (341g)
-1.292494349,1.136196726,-0.036526567,0.19282419,HMGB3 (27g)
0.545068816,1.090265358,-1.115209104,-0.520125071,HNF1A_extended (11g)
-0.017932326,1.075820424,-1.329795232,0.271907135,POLE3 (163g)
-0.648571129,1.052239432,-1.035702732,0.632034429,HOXA10 (18g)
0.681671339,1.023185787,-0.984991986,-0.71986514,HNF4G (28g)
0.716853719,0.985327495,-1.033491308,-0.668689906,HOXB8 (137g)
0.469186874,0.949362527,-0.048807719,-1.369741682,NFE2L1_extended (15g)
0.801953244,0.858880087,-0.483997618,-1.176835713,CREB3_extended (148g)
0.645542518,0.821255748,-1.378792532,-0.088005734,NR2F6 (104g)
0.982987093,0.734153365,-0.959737264,-0.757403193,SMAD4 (23g)
0.913456152,0.709694596,-1.226679134,-0.396471615,SOX4 (130g)
0.997849853,0.668221367,-0.541591601,-1.124479619,ZBTB7B_extended (11g)
1.023659911,0.652847318,-0.592721008,-1.083786221,NPDC1 (21g)
0.939602608,0.640137585,-1.269234923,-0.31050527,HNF1B (398g)
