POU5F1
SOX2
NANOG
CNMD
ESRG
ISL1
GABRP
TFAP2A
HEY1
WNT6
PRDM1
NANOS3
TFAP2C
CXCR4
PDPN
TBXT
MSGN1
WNT8A
GAL
MESP1
EOMES
MIXL1
BMP4
WNT5A
APLNR
HAND1
GATA6
PDGFRA
FOXF1
SNAI2
DCN
POSTN
ANXA1
FRZB
HAND2
LINC02582
CSAG1
MAGEA6
DNMT3L
MAGEA3
SOX17
FOXA2
GATA4
BMP6
HNF1B
AFP
TTR
APOA2
APOB
GJB1
CD34
ERG
PECAM1
MEF2C
TAL1
